MiracleRadius_composition_average,AtomicVolume_composition_average,ICSDVolume_composition_average,ThirdIonizationEnergy_composition_average,NValance_composition_average,NUnfilled_composition_average,CovalentRadii_composition_average,Electronegativity_composition_average,IonicRadii_composition_average,GSestFCClatcnt_composition_average,HeatFusion_composition_average,Polarizability_composition_average,BCCefflatcnt_composition_average,BCCfermi_composition_average,HHIp_composition_average,IonizationEnergy_composition_average,HHIr_composition_average,MeltingT_composition_average,HeatVaporization_composition_average,ThermalExpansionCoefficient_composition_average,NsUnfilled_composition_average,FirstIonizationEnergy_composition_average,phi_composition_average,HHIp_arithmetic_average,NdValence_composition_average
127.88888888888891,11.901752869367854,11.855555555555556,31.96911111111111,8.0,4.0,1.18,1.8577777777777775,0.6233333333333334,3.542774940333333,19.384444444444444,9.044444444444443,5.631119370111112,6.66294272888889,2400.0,722.0555555555558,2744.444444444445,1985.555555555556,385.55555555555566,10.111111111111109,0.33333333333333337,7.496874444444446,4.934444444444446,2400.0,6.333333333333332
129.2,12.37102003418206,12.33,31.6169,7.5,4.1,1.1800000000000002,1.833,0.615,3.5924580999,18.517,8.82,5.714911846100001,6.773055798,2320.0,707.61,2570.0,1880.347,376.08,11.41,0.30000000000000004,7.345763800000001,4.861000000000001,2266.666666666667,5.699999999999998
130.8,12.930876417621732,12.88,31.111600000000006,6.9,4.3,1.182,1.806,0.6040000000000001,3.6516531072000005,17.968,8.75,5.8110844509,6.935421665999999,2170.0,689.57,2400.0,1796.8939999999998,367.83,12.42,0.30000000000000004,7.156239599999999,4.771,2266.666666666667,5.0
130.8,12.852725988978822,12.82,31.396500000000003,6.999999999999999,4.199999999999998,1.181,1.811,0.6139999999999999,3.6462963473000003,18.207,8.66,5.8060315832,6.904313797,2240.0,689.44,2530.0,1792.594,370.21,12.54,0.30000000000000004,7.1541006000000005,4.788,2266.666666666667,5.1
130.68399999999997,12.831218768590091,12.7976,31.38159,7.02,4.196000000000001,1.1807799999999995,1.81138,0.6127199999999999,3.643394901594,18.11906,8.6548,5.801067886716,6.895257389660001,2243.2,690.8371999999998,2507.4,1792.96212,369.7958,12.5252,0.294,7.169066588,4.790839999999998,2266.666666666667,5.1179999999999986
130.7,12.936334041762539,12.91,30.9446,6.799999999999999,4.4,1.1829999999999998,1.8030000000000002,0.5999999999999999,3.6508138496,17.840000000000003,8.819999999999997,5.813025527500002,7.039883889,2380.0,691.6999999999998,2520.0,1800.8940000000002,367.41,12.38,0.30000000000000004,7.180360600000001,4.760999999999999,2266.666666666667,4.9
129.91408591408592,12.603209134936778,12.557742257742259,31.649316683316684,7.332667332667332,4.0,1.1774525474525477,1.820619380619381,0.6149750249750251,3.6182564739320684,17.77030969030969,8.482017982017982,5.758700019248753,6.715718283016983,2150.4495504495508,699.1884115884117,2348.951048951049,1788.2222677322682,368.97692307692313,12.553446553446555,0.2497502497502498,7.256824761238762,4.834075924075924,2266.666666666667,5.415584415584417
129.61538461538458,12.475937980210825,12.423076923076923,31.919692307692305,7.538461538461537,3.8461538461538463,1.1753846153846153,1.8276923076923075,0.6207692307692307,3.605868124076923,17.756923076923076,8.353846153846153,5.737998247923078,6.5912474169230775,2061.5384615384614,702.0846153846153,2284.6153846153843,1784.0723076923075,369.7384615384616,12.615384615384615,0.23076923076923075,7.286385076923077,4.862307692307692,2266.666666666667,5.615384615384616
129.8311688311688,12.60773443767092,12.58261738261738,31.510845154845146,7.2497502497502495,4.082917082917083,1.178281718281718,1.8181318681318683,0.6116583416583415,3.617560586011988,17.664175824175825,8.54005994005994,5.760309503342657,6.80233531107892,2324.5754245754238,700.9545454545455,2448.4515484515478,1791.5389510489508,368.6286713286713,12.52027972027972,0.2497502497502497,7.276825190809188,4.825784215784215,2266.666666666667,5.332667332667333
129.46153846153842,12.48433432504284,12.46923076923077,31.66276923076923,7.384615384615384,4.0,1.1769230769230772,1.8230769230769228,0.6146153846153846,3.604576958538461,17.56,8.46153846153846,5.740984519615385,6.751958529230769,2384.615384615385,705.3615384615384,2469.230769230769,1790.2261538461535,369.09230769230766,12.553846153846154,0.23076923076923075,7.323494307692306,4.846923076923076,2266.666666666667,5.461538461538462
129.8311688311688,12.672534493388815,12.632367632367634,31.274614385614385,7.1668331668331655,4.165834165834166,1.1791108891108892,1.8139860139860142,0.6033666333666334,3.62200225505994,17.466003996003995,8.614685314685316,5.764499193843157,6.828129048611388,2266.5334665334667,701.0623376623378,2340.659340659341,1795.1043856143856,366.65524475524484,12.420779220779224,0.2497502497502498,7.278598787212787,4.811688311688312,2266.666666666667,5.24975024975025
129.46153846153842,12.604565753724234,12.56153846153846,31.224461538461536,7.23076923076923,4.153846153846153,1.1784615384615384,1.8153846153846152,0.5992307692307691,3.612818127615384,17.192307692307693,8.6,5.748758162230768,6.7998167892307695,2276.923076923077,705.5615384615384,2269.230769230769,1796.8415384615384,365.4307692307692,12.369230769230768,0.23076923076923075,7.326785076923077,4.820769230769231,2266.666666666667,5.307692307692307
131.15784215784214,13.071951019344173,13.038661338661337,31.091865134865127,6.7522477522477535,4.248751248751248,1.1799400599400598,1.7957442557442556,0.6025374625374624,3.666643359297702,17.208961038961036,8.482017982017982,5.840053021808193,6.9369643524775215,2200.1998001998004,685.9963036963038,2307.4925074925072,1722.3421578421576,361.78801198801193,13.35774225774226,0.2497502497502497,7.119677252747254,4.751158841158841,2266.666666666667,4.752247752247752
